year,day,day_n,accidents,killed
2020,Monday,1,226,29
2020,Tuesday,2,208,26
2020,Wednesday,3,243,34
2020,Thursday,4,242,29
2020,Friday,5,242,26
2020,Saturday,6,247,31
2020,Sunday,7,207,29
2021,Monday,1,226,35
2021,Tuesday,2,234,24
2021,Wednesday,3,213,18
2021,Thursday,4,236,35
2021,Friday,5,272,32
2021,Saturday,6,267,25
2021,Sunday,7,229,41
2022,Monday,1,281,32
2022,Tuesday,2,276,23
2022,Wednesday,3,262,28
2022,Thursday,4,248,36
2022,Friday,5,293,43
2022,Saturday,6,281,42
2022,Sunday,7,238,23
2023,Monday,1,249,27
2023,Tuesday,2,228,35
2023,Wednesday,3,273,36
2023,Thursday,4,280,41
2023,Friday,5,276,32
2023,Saturday,6,260,26
2023,Sunday,7,200,32
2024,Monday,1,226,27
2024,Tuesday,2,245,26
2024,Wednesday,3,212,27
2024,Thursday,4,232,27
2024,Friday,5,244,40
2024,Saturday,6,237,38
2024,Sunday,7,202,28
