year,hour_slot,accidents,killed
2020,00:00-01:59,79,10
2020,02:00-03:59,47,14
2020,04:00-05:59,38,6
2020,06:00-07:59,120,12
2020,08:00-09:59,113,12
2020,10:00-11:59,122,16
2020,12:00-13:59,171,25
2020,14:00-15:59,244,29
2020,16:00-17:59,255,25
2020,18:00-19:59,182,12
2020,20:00-21:59,129,21
2020,22:00-23:59,108,14
2021,00:00-01:59,64,6
2021,02:00-03:59,34,8
2021,04:00-05:59,45,9
2021,06:00-07:59,99,13
2021,08:00-09:59,132,15
2021,10:00-11:59,179,14
2021,12:00-13:59,192,30
2021,14:00-15:59,267,44
2021,16:00-17:59,267,32
2021,18:00-19:59,170,20
2021,20:00-21:59,121,13
2021,22:00-23:59,99,6
2022,00:00-01:59,65,7
2022,02:00-03:59,53,7
2022,04:00-05:59,55,12
2022,06:00-07:59,144,19
2022,08:00-09:59,138,16
2022,10:00-11:59,157,19
2022,12:00-13:59,235,31
2022,14:00-15:59,255,32
2022,16:00-17:59,303,22
2022,18:00-19:59,182,18
2022,20:00-21:59,147,13
2022,22:00-23:59,118,18
2023,00:00-01:59,63,6
2023,02:00-03:59,44,7
2023,04:00-05:59,45,13
2023,06:00-07:59,135,8
2023,08:00-09:59,124,13
2023,10:00-11:59,167,23
2023,12:00-13:59,226,28
2023,14:00-15:59,267,24
2023,16:00-17:59,255,29
2023,18:00-19:59,176,27
2023,20:00-21:59,135,16
2023,22:00-23:59,90,6
2024,00:00-01:59,74,12
2024,02:00-03:59,36,2
2024,04:00-05:59,34,1
2024,06:00-07:59,112,8
2024,08:00-09:59,105,9
2024,10:00-11:59,159,22
2024,12:00-13:59,194,25
2024,14:00-15:59,222,23
2024,16:00-17:59,265,19
2024,18:00-19:59,137,21
2024,20:00-21:59,132,18
2024,22:00-23:59,92,17
