year,month,month_n,accidents,killed
2020,January,1,117,20
2020,February,2,111,14
2020,March,3,75,9
2020,April,4,110,17
2020,May,5,135,18
2020,June,6,209,17
2020,July,7,168,19
2020,August,8,163,18
2020,September,9,158,21
2020,October,10,128,12
2020,November,11,134,23
2020,December,12,107,16
2021,January,1,86,9
2021,February,2,80,12
2021,March,3,75,8
2021,April,4,93,19
2021,May,5,136,12
2021,June,6,220,17
2021,July,7,202,20
2021,August,8,165,26
2021,September,9,176,29
2021,October,10,158,21
2021,November,11,154,16
2021,December,12,132,21
2022,January,1,116,11
2022,February,2,110,10
2022,March,3,114,12
2022,April,4,126,15
2022,May,5,182,22
2022,June,6,209,25
2022,July,7,210,28
2022,August,8,225,24
2022,September,9,159,17
2022,October,10,169,18
2022,November,11,141,28
2022,December,12,118,17
2023,January,1,123,15
2023,February,2,110,13
2023,March,3,119,13
2023,April,4,129,15
2023,May,5,196,27
2023,June,6,208,29
2023,July,7,152,14
2023,August,8,173,23
2023,September,9,190,26
2023,October,10,140,25
2023,November,11,114,15
2023,December,12,112,14
2024,January,1,91,9
2024,February,2,79,13
2024,March,3,86,5
2024,April,4,111,12
2024,May,5,183,30
2024,June,6,197,22
2024,July,7,178,26
2024,August,8,161,24
2024,September,9,160,22
2024,October,10,143,20
2024,November,11,110,10
2024,December,12,99,20
