year,county,total_accidents,fatal_accidents,total_injured,killed
2020,Stockholms län,319,13,353,13
2020,Uppsala län,53,7,57,8
2020,Södermanlands län,47,5,52,5
2020,Östergötlands län,64,13,74,13
2020,Jönköpings län,71,5,85,5
2020,Kronobergs län,25,6,30,6
2020,Kalmar län,46,6,54,7
2020,Gotlands län,20,2,21,2
2020,Blekinge län,30,2,31,2
2020,Skåne län,223,36,243,39
2020,Hallands län,59,4,70,5
2020,Västra Götalands län,211,25,245,30
2020,Värmlands län,49,11,57,12
2020,Örebro län,47,6,55,6
2020,Västmanlands län,89,6,108,6
2020,Dalarnas län,51,9,58,9
2020,Gävleborgs län,38,6,46,6
2020,Västernorrlands län,35,9,45,12
2020,Jämtlands län,37,6,44,6
2020,Västerbottens län,72,7,82,7
2020,Norrbottens län,29,5,39,5
2021,Stockholms län,318,20,352,22
2021,Uppsala län,67,6,74,6
2021,Södermanlands län,52,9,66,9
2021,Östergötlands län,58,7,72,7
2021,Jönköpings län,76,8,92,10
2021,Kronobergs län,31,5,37,7
2021,Kalmar län,41,5,47,5
2021,Gotlands län,10,1,11,1
2021,Blekinge län,28,1,32,1
2021,Skåne län,231,25,249,25
2021,Hallands län,65,7,71,7
2021,Västra Götalands län,232,38,261,41
2021,Värmlands län,44,9,52,11
2021,Örebro län,51,13,61,15
2021,Västmanlands län,70,5,79,5
2021,Dalarnas län,75,7,83,8
2021,Gävleborgs län,36,4,50,5
2021,Västernorrlands län,37,5,59,6
2021,Jämtlands län,28,2,29,2
2021,Västerbottens län,80,4,98,4
2021,Norrbottens län,47,13,53,13
2022,Stockholms län,335,17,363,17
2022,Uppsala län,63,6,72,6
2022,Södermanlands län,61,9,74,11
2022,Östergötlands län,59,13,73,13
2022,Jönköpings län,70,12,81,13
2022,Kronobergs län,36,5,38,5
2022,Kalmar län,67,12,78,13
2022,Gotlands län,10,2,11,2
2022,Blekinge län,35,4,38,4
2022,Skåne län,320,26,345,33
2022,Hallands län,75,9,84,9
2022,Västra Götalands län,218,36,254,39
2022,Värmlands län,56,7,60,7
2022,Örebro län,77,7,84,8
2022,Västmanlands län,93,5,109,5
2022,Dalarnas län,74,6,80,6
2022,Gävleborgs län,31,8,36,9
2022,Västernorrlands län,39,5,46,5
2022,Jämtlands län,33,3,42,3
2022,Västerbottens län,83,5,93,5
2022,Norrbottens län,44,11,57,14
2023,Stockholms län,336,33,396,34
2023,Uppsala län,58,4,65,4
2023,Södermanlands län,62,8,70,8
2023,Östergötlands län,66,11,70,12
2023,Jönköpings län,67,10,75,11
2023,Kronobergs län,40,3,48,3
2023,Kalmar län,48,6,54,8
2023,Gotlands län,16,1,19,1
2023,Blekinge län,25,2,29,2
2023,Skåne län,289,31,323,32
2023,Hallands län,70,6,77,6
2023,Västra Götalands län,199,39,239,45
2023,Värmlands län,71,8,76,8
2023,Örebro län,55,4,69,4
2023,Västmanlands län,80,7,94,7
2023,Dalarnas län,58,5,65,5
2023,Gävleborgs län,40,8,43,8
2023,Västernorrlands län,45,9,51,9
2023,Jämtlands län,28,4,30,4
2023,Västerbottens län,65,11,75,11
2023,Norrbottens län,48,7,50,7
2024,Stockholms län,322,24,349,25
2024,Uppsala län,62,7,64,7
2024,Södermanlands län,51,5,57,6
2024,Östergötlands län,58,15,72,18
2024,Jönköpings län,56,10,68,10
2024,Kronobergs län,49,4,55,5
2024,Kalmar län,32,11,36,12
2024,Gotlands län,11,1,12,1
2024,Blekinge län,17,2,23,2
2024,Skåne län,237,24,266,27
2024,Hallands län,52,7,64,9
2024,Västra Götalands län,202,30,230,32
2024,Värmlands län,45,5,49,5
2024,Örebro län,58,4,60,4
2024,Västmanlands län,73,5,89,5
2024,Dalarnas län,55,5,60,7
2024,Gävleborgs län,46,10,56,11
2024,Västernorrlands län,32,6,44,7
2024,Jämtlands län,32,4,38,4
2024,Västerbottens län,63,8,67,8
2024,Norrbottens län,45,6,51,8
